ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Popularity
11wtXwdgLVqFUykf2pM4p6,0.474,0.994,9,-3.427,0,0.0513,0.0175,0.33,0.307,0.452,149.973,206404,4,2017,35
5k5ER1fj6R64zRfjzOF2Y2,0.576,0.506,10,-8.162,0,0.0637,0.0214,0.365,0.118,0.0541,174.014,341109,4,2018,20
61VlApj8p2ZaP0WTunTrKT,0.782,0.597,1,-6.399,1,0.335,0.0568,0,0.582,0.528,189.262,243133,4,1995,56
1rPOzfE1g5o6PLotQrOc6C,0.765,0.679,11,-9.107,0,0.0698,0.0136,0.896,0.11,0.0687,125.012,401280,4,2019,25
1jemrrMOE9vKiJgoGYzTTH,0.526,0.924,1,-3.205,0,0.0348,0.01,0.612,0.118,0.115,174.091,318942,4,2015,27
3jZomvOBa5qfTo5HkqI1p5,0.489,0.867,4,-3.121,0,0.071,0.025,0,0.586,0.409,162.131,157293,4,2013,67
3HE50TVRquwXe9yv2HFoNL,0.433,0.778,2,-4.68,0,0.0371,0.00838,0,0.163,0.217,149.864,209333,4,2006,69
32sBVB5HmrwJ6e9g0S2BRL,0.82,0.596,11,-7.539,1,0.246,0.517,0.00159,0.358,0.54,189.936,172653,4,2017,65
50UkypyQJbSQLaXHke5Yep,0.942,0.892,6,-6.363,0,0.196,0.023,0.000897,0.264,0.595,200.014,180493,4,2005,61
2tSdNXn66NDtZqta2zMwje,0.723,0.58,0,-7.817,1,0.0802,0.0908,0.000228,0.552,0.224,112.003,158591,4,2020,14
0gwNGHcBRYtF7mvgUczVo1,0.854,0.93,2,-7.528,1,0.0439,0.563,0.697,0.0815,0.192,123.998,480000,4,2019,64
2lG9HJqFFVxDDBc8g98bUS,0.53,0.994,4,-3.71,0,0.0829,0.000897,0.865,0.235,0.163,138.012,358270,4,2017,5
4I6gAAakCm4plmLoo5dPz9,0.445,0.728,1,-10.728,1,0.225,0.00727,0,0.358,0.528,164.258,133724,4,2019,15
4S8d14HvHb70ImctNgVzQQ,0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,208.106,127947,4,2018,73
0ORyPS6mdiFcAzBNY8BcAS,0.67,0.924,7,-8.19,1,0.0572,0.217,0.786,0.413,0.395,136.017,455294,4,2017,4
